Payoff Type,T,R,P,S,,0 to 100 by 1,,,"IF(I2=0,1)","IF(AND(I2=0,B2<>0),1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,80,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < T+3P < 4P < 3R+S < 2R+2S < R+3S < 4S,10,9,7,0,,,81,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,82,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,83,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 2T+2P < 4R < 3R+S < 2R+2S < T+3P < R+3S < 4P < 4S,0,0,0,0,,,84,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,85,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,86,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 2T+2P < 4R < 3R+S < 2R+2S < T+3P < 4P < R+3S < 4S,0,0,0,0,,,87,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,88,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,89,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
